,sel_features
0,M_AtomicRadii
1,M_Affinity
2,M_Ionization
3,L_afpC2_C3_C3
4,L_afpC3_C3_C3
5,L_afpC3_C3_F1
6,L_afpC3_C3_H1
7,L_afpC3_C3_N2
8,L_afpC3_C3_N3
9,L_afpC3_C3_O1
10,L_afpC3_C3_O2
11,L_afpC3_O2_H1
12,L_afpC4_N3_C4
13,L_afpH1_C4_N3
14,L_efpfam_acrylate
15,L_efpfam_ketone
16,L_efpfam_polyamides
17,L_efpfam_single
18,L_efpnorm_mol_wt
19,L_mfpMQNs20
20,L_mfpMQNs27
21,L_mfpMQNs30
22,L_mfpMQNs32
23,L_mfpMQNs36
24,L_mfpMQNs42
25,L_linkermetalratio
26,L_no
27,L_noh
28,L_nh2o
