ID,Common name,Stability,Activated formula unit_x,Metal,Nmetal,M_AtomicRadii,M_Electronegativity,M_Valency,M_Affinity,M_Ionization,Activated formula unit_y,Linker,NLinker,L_acid-pKa,L_afpBr1_C3_C3,L_afpC2_C2_C2,L_afpC2_C2_C3,L_afpC2_C3_C3,L_afpC2_C3_N2,L_afpC3_C3_C3,L_afpC3_C3_C4,L_afpC3_C3_Cl1,L_afpC3_C3_F1,L_afpC3_C3_H1,L_afpC3_C3_N2,L_afpC3_C3_N3,L_afpC3_C3_O1,L_afpC3_C3_O2,L_afpC3_C3_P4,L_afpC3_C3_S2,L_afpC3_C4_C3,L_afpC3_C4_C4,L_afpC3_C4_F1,L_afpC3_C4_H1,L_afpC3_C4_N2,L_afpC3_C4_N3,L_afpC3_C4_O2,L_afpC3_C4_P4,L_afpC3_N2_C3,L_afpC3_N2_C4,L_afpC3_N2_N2,L_afpC3_N2_N3,L_afpC3_N3_C3,L_afpC3_N3_C4,L_afpC3_N3_H1,L_afpC3_N3_N2,L_afpC3_N3_N3,L_afpC3_N3_O1,L_afpC3_N3_O2,L_afpC3_O2_C3,L_afpC3_O2_C4,L_afpC3_O2_H1,L_afpC3_P4_O1,L_afpC3_P4_O2,L_afpC3_S2_C3,L_afpC3_S2_H1,L_afpC4_C3_C4,L_afpC4_C3_H1,L_afpC4_C3_N2,L_afpC4_C3_N3,L_afpC4_C3_O1,L_afpC4_C3_O2,L_afpC4_C4_C4,L_afpC4_C4_F1,L_afpC4_C4_H1,L_afpC4_C4_N2,L_afpC4_C4_N3,L_afpC4_C4_O2,L_afpC4_N2_C4,L_afpC4_N2_N2,L_afpC4_N3_C4,L_afpC4_N3_H1,L_afpC4_O2_C4,L_afpC4_O2_H1,L_afpC4_O2_P4,L_afpC4_P4_H1,L_afpC4_P4_O1,L_afpC4_P4_O2,L_afpF1_C4_F1,L_afpF1_C4_O2,L_afpF1_Si4_F1,L_afpH1_C3_N2,L_afpH1_C3_N3,L_afpH1_C3_O1,L_afpH1_C3_O2,L_afpH1_C4_H1,L_afpH1_C4_N2,L_afpH1_C4_N3,L_afpH1_C4_O2,L_afpH1_C4_P4,L_afpH1_N3_H1,L_afpH1_N3_N2,L_afpH1_N3_N3,L_afpH1_O2_N3,L_afpH1_O2_P3,L_afpH1_O2_P4,L_afpH1_P4_O1,L_afpH1_P4_O2,L_afpN2_C3_N2,L_afpN2_C3_N3,L_afpN2_C4_N2,L_afpN2_N2_N3,L_afpN2_N3_N2,L_afpN3_C3_O1,L_afpN3_O2_P4,L_afpO1_C3_O1,L_afpO1_C3_O2,L_afpO1_N3_O2,L_afpO1_P3_O2,L_afpO1_P4_O2,L_afpO2_P3_O2,L_afpO2_P4_O2,L_afpP4_C4_P4,L_efpfam_acrylate,L_efpfam_ketone,L_efpfam_polyamides,L_efpfam_polyanhydrides,L_efpfam_single,L_efpnorm_mol_wt,L_efpnumatoms_none_H,L_efpring,L_mfpChi0n,L_mfpChi0v,L_mfpChi1n,L_mfpChi1v,L_mfpChi2n,L_mfpChi2v,L_mfpHallKierAlpha,L_mfpMQNs13,L_mfpMQNs14,L_mfpMQNs15,L_mfpMQNs16,L_mfpMQNs17,L_mfpMQNs19,L_mfpMQNs20,L_mfpMQNs21,L_mfpMQNs24,L_mfpMQNs25,L_mfpMQNs26,L_mfpMQNs27,L_mfpMQNs28,L_mfpMQNs29,L_mfpMQNs30,L_mfpMQNs31,L_mfpMQNs32,L_mfpMQNs35,L_mfpMQNs36,L_mfpMQNs40,L_mfpMQNs41,L_mfpMQNs42,L_mfpNumAliphaticRings,L_mfpNumAromaticRings,L_mfptpsa,L_linkermetalratio,L_no,L_noh,L_nh2o
166,IRMOF-1-CF3O/MOF-5-CF3O/Banasorb-22(64),1,Zn4O(BDC-2-CF3O)3,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC-2-CF3O)3,"['BDCOCF3', 'O']","[3.0, 1.0]",2.9,0,0,0,0,0,0.454545455,0,0,0,0.272727273,0,0,0.090909091,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136363636,0.136363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0,0,0,0,0.947454545,0.772727273,0.352941176,0.576142494,0.348869767,0.277644916,0.172349617,0.117129178,0.117129178,0.102272727,0.636363636,0.090909091,0,0.136363636,0.136363636,0.136363636,0.454545455,0.227272727,0,0,0.227272727,0.136363636,0.090909091,0.045454545,0,0.272727273,0,0,0.045454545,0,0,0,0,0.045454545,0.952613636,0.75,0.25,0,0
167,Cu-EBTC(274),1,Cu3(BTC-(CH3)2)2(H2O)3,['Cu'],['3'],1.35,1.9,2,1.23578,7.7264,Cu3(BTC-(CH3)2)2(H2O)3,"['BTCEt', 'H2O']","[2.0, 3.0]",3.11,0,0,0,0,0,0.444444444,0.074074074,0,0,0.148148148,0,0,0.111111111,0.111111111,0,0,0,0.037037037,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.735169753,0.62962963,0.352941176,0.664795916,0.294425546,0.322203324,0.147212773,0.101384164,0.101384164,0.087777778,0.666666667,0.111111111,0,0.111111111,0.111111111,0.185185185,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0.074074074,0,0.222222222,0,0,0.037037037,0,0,0,0,0.037037037,1.036111111,0.666666667,0,0,1
168,Cu-HF(292),1,Cu(HFIPBB)(H2HFIPBB)0.5,['Cu'],['1'],1.35,1.9,2,1.23578,7.7264,Cu(HFIPBB)(H2HFIPBB)0.5,['HFIPBB'],[1.5],3.45,0,0,0,0,0,0.432432432,0.108108108,0,0,0.432432432,0,0,0.054054054,0.054054054,0,0,0.027027027,0.108108108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054054054,0,0,0,0,0,0,0,0,0,0,0.027027027,0.162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162162162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054054054,0,0,0,0,0,0,1,0,0,0,0,0.883448198,0.72972973,0.444444444,0.605426486,0.335156216,0.304510448,0.174334865,0.130281976,0.130281976,0.082162162,0.648648649,0.054054054,0,0.162162162,0.162162162,0.108108108,0.216216216,0.108108108,0,0,0.216216216,0.054054054,0.054054054,0.081081081,0,0.324324324,0,0,0.054054054,0,0,0,0,0.054054054,0.504054054,1,0,0,0
169,Cu-MBTC(274),1,Cu3(BTC-CH3)2(H2O)3,['Cu'],['3'],1.35,1.9,2,1.23578,7.7264,Cu3(BTC-CH3)2(H2O)3,"['BTCM', 'H2O']","[2.0, 3.0]",3.14,0,0,0,0,0,0.5,0.083333333,0,0,0.166666667,0,0,0.125,0.125,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,1,0,0,0,0,0.778361111,0.666666667,0.375,0.643728739,0.310395406,0.310395406,0.155197703,0.108848851,0.108848851,0.09875,0.625,0.125,0,0.125,0.125,0.166666667,0.5,0.25,0,0,0.125,0.125,0.125,0.041666667,0,0.25,0,0,0.041666667,0,0,0,0,0.041666667,1.165625,0.666666667,0,0,1
170,IRMOF-1-(CH3)2/MOF-5-(CH3)2(66),1,Zn4O(BDC-(CH3)2)3,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC-(CH3)2)3,"['BDCCH3', 'O']","[3.0, 1.0]",3.26,0,0,0,0,0,0.476190476,0.095238095,0,0,0.285714286,0,0,0.095238095,0.095238095,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,1,0,0,0,0,0.714916667,0.619047619,0.461538462,0.672999674,0.292047293,0.327761579,0.146023647,0.098805474,0.098805474,0.087619048,0.619047619,0.095238095,0,0.142857143,0.142857143,0.142857143,0.380952381,0.19047619,0,0,0.095238095,0.095238095,0.095238095,0.047619048,0,0.285714286,0,0,0.047619048,0,0,0,0,0.047619048,0.888095238,0.75,0.25,0,0
171,IRMOF-1-CH3/MOF-5-CH3(66),1,Zn4O(BDC-CH3)3,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC-CH3)3,"['BDCCH3', 'O']","[3.0, 1.0]",3.26,0,0,0,0,0,0.476190476,0.095238095,0,0,0.285714286,0,0,0.095238095,0.095238095,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0,0,0,0,0,0,1,0,0,0,0,0.714916667,0.619047619,0.461538462,0.672999674,0.292047293,0.327761579,0.146023647,0.098805474,0.098805474,0.087619048,0.619047619,0.095238095,0,0.142857143,0.142857143,0.142857143,0.380952381,0.19047619,0,0,0.095238095,0.095238095,0.095238095,0.047619048,0,0.285714286,0,0,0.047619048,0,0,0,0,0.047619048,0.888095238,0.75,0.25,0,0
172,IRMOF-3-AM15(65),1,Zn4O(BDC-NH-CO-(CH2)14CH3),['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC-NH-CO-(CH2)14CH3),"['BDCNH2', 'O']","[1.0, 1.0]",4.03,0,0,0,0,0,0.5,0,0,0,0.3,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0.754779167,0.65,0.461538462,0.654010338,0.304010338,0.312551358,0.152005169,0.102426088,0.102426088,0.102,0.6,0.1,0,0.15,0.15,0.15,0.45,0.25,0,0,0.1,0.1,0.15,0,0,0.3,0,0,0.05,0,0,0,0,0.05,1.25775,0.25,0.25,0,0
173,IRMOF-3/MOF-5-NH2(65),1,Zn4O(BDC-NH2)3,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC-NH2)3,"['BDCNH2', 'O']","[3.0, 1.0]",4.03,0,0,0,0,0,0.5,0,0,0,0.3,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0.754779167,0.65,0.461538462,0.654010338,0.304010338,0.312551358,0.152005169,0.102426088,0.102426088,0.102,0.6,0.1,0,0.15,0.15,0.15,0.45,0.25,0,0,0.1,0.1,0.15,0,0,0.3,0,0,0.05,0,0,0,0,0.05,1.25775,0.75,0.25,0,0
174,"MIL-110 (Al)(62, 299)",1,Al8(OH)12(OH)3(H2O)3(BTC)3,['Al'],['8'],1.25,1.61,3,0.43283,5.9858,Al8(OH)12(OH)3(H2O)3(BTC)3,"['BTC', 'OH', 'H2O']","[3.0, 15.0, 3.0]",3.14,0,0,0,0,0,0.571428571,0,0,0,0.285714286,0,0,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0,0,1,0,0,0,0,0.833892857,0.714285714,0.4,0.616642369,0.330928083,0.295213797,0.165464041,0.112493926,0.112493926,0.112857143,0.571428571,0.142857143,0,0.142857143,0.142857143,0.142857143,0.571428571,0.285714286,0,0,0.142857143,0.142857143,0.142857143,0,0,0.285714286,0,0,0.047619048,0,0,0,0,0.047619048,1.332142857,0.375,0,1.875,0.375
175,"MIL-125 (Ti)(46, 48)",1,Ti8O8(OH)4(BDC)6,['Ti'],['8'],1.4,1.54,4,0.084,6.8281,Ti8O8(OH)4(BDC)6,"['BDC', 'O', 'OH']","[6.0, 8.0, 4.0]",3.32,0,0,0,0,0,0.555555556,0,0,0,0.444444444,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.76912963,0.666666667,0.5,0.646277398,0.312944065,0.312944065,0.156472032,0.101384164,0.101384164,0.102222222,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,0.75,1,0.5,0
176,MOFF-1(84),1,Cu(CH3OH)(L11),['Cu'],['1'],1.35,1.9,2,1.23578,7.7264,Cu(CH3OH)(L11),"['L11', 'CH3OH']","[1.0, 1.0]",2.98,0,0,0,0,0,0.574534161,0,0,0.285714286,0.130434783,0.043478261,0,0.035714286,0.122670807,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0.130434783,0,0,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0.5,0,0,0,0,0.893821817,0.74689441,0.576923077,0.597428719,0.344323129,0.302768214,0.179492265,0.129684541,0.129684541,0.092437888,0.593944099,0.035714286,0,0.204968944,0.204968944,0.162267081,0.251552795,0.136645963,0,0,0.178571429,0.079192547,0.035714286,0.043478261,0.02173913,0.388198758,0,0,0.068322981,0,0,0,0,0.068322981,0.503416149,2,0,0,0
177,MOFF-3(84),1,CuO(L12),['Cu'],['1'],1.35,1.9,2,1.23578,7.7264,CuO(L12),"['L12', 'O']","[1.0, 1.0]",4.87,0,0,0,0,0,0.625,0,0,0.5,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0.0625,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130755208,0.9375,0.733333333,0.487544517,0.425044517,0.257834759,0.229883909,0.169276324,0.169276324,0.124375,0.40625,0,0,0.34375,0.34375,0.09375,0.25,0.25,0,0,0.25,0,0,0,0.1875,0.5,0,0.0625,0.0625,0,0,0,0,0.125,0.8509375,1,1,0,0
178,N/A(275),1,Cu2(TPTC-O-(ethyl)),['Cu'],['2'],1.35,1.9,2,1.23578,7.7264,Cu2(TPTC-O-(ethyl)),['TPTC-O'],[1.0],3.17,0,0,0,0,0,0.772727273,0,0,0,0.454545455,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0,0,0,0,0.769594697,0.681818182,0.6,0.64240878,0.324226962,0.324226962,0.173477117,0.122723407,0.122723407,0.101363636,0.545454545,0.090909091,0,0.204545455,0.204545455,0.136363636,0.363636364,0.181818182,0,0,0.090909091,0.090909091,0.090909091,0,0,0.409090909,0,0,0.068181818,0,0,0,0,0.068181818,0.847727273,0.5,0,0,0
179,N/A(275),1,Cu2(TPTC-O-(n-propyl)),['Cu'],['2'],1.35,1.9,2,1.23578,7.7264,Cu2(TPTC-O-(n-propyl)),['TPTC-O'],[1.0],3.17,0,0,0,0,0,0.772727273,0,0,0,0.454545455,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0,0,0,0,0.769594697,0.681818182,0.6,0.64240878,0.324226962,0.324226962,0.173477117,0.122723407,0.122723407,0.101363636,0.545454545,0.090909091,0,0.204545455,0.204545455,0.136363636,0.363636364,0.181818182,0,0,0.090909091,0.090909091,0.090909091,0,0,0.409090909,0,0,0.068181818,0,0,0,0,0.068181818,0.847727273,0.5,0,0,0
180,N/A(275),1,Cu2(TPTC-O-(n-hexyl)),['Cu'],['2'],1.35,1.9,2,1.23578,7.7264,Cu2(TPTC-O-(n-hexyl)),['TPTC-O'],[1.0],3.17,0,0,0,0,0,0.772727273,0,0,0,0.454545455,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,1,0,0,0,0,0.769594697,0.681818182,0.6,0.64240878,0.324226962,0.324226962,0.173477117,0.122723407,0.122723407,0.101363636,0.545454545,0.090909091,0,0.204545455,0.204545455,0.136363636,0.363636364,0.181818182,0,0,0.090909091,0.090909091,0.090909091,0,0,0.409090909,0,0,0.068181818,0,0,0,0,0.068181818,0.847727273,0.5,0,0,0
181,SIFSIX-3-Zn(134),1,Zn(PYR)2(SiF6),['Zn'],['1'],1.35,1.65,2,-0.62,9.3942,Zn(PYR)2(SiF6),"['PYR', 'SiF4', 'F']","[2.0, 1.0, 2.0]",2.31,0,0,0,0,0,0,0,0,0,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.947326667,0.64,0.4,0.631844298,0.311844298,0.24160714,0.146488561,0.043975673,0.078261387,0.053324675,0.52,0,0,0.12,0.12,0,0.08,0.08,0,0,0.36,0,0,0.04,0.08,0.16,0,0,0.04,0,0,0,0,0.04,0.2578,5,0,0,0
182,UiO-66-F2(322),1,Zr6O6(BDC-F2)12,['Zr'],['6'],1.55,1.33,4,0.4333,6.6339,Zr6O6(BDC-F2)12,"['BDCF', 'O']","[12.0, 6.0]",2.25,0,0,0,0,0,0.555555556,0,0,0.222222222,0.222222222,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.935703704,0.777777778,0.428571429,0.577162339,0.354940117,0.278386535,0.177470059,0.122382191,0.122382191,0.11,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.222222222,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,2,1,0,0
183,UiO-66-F(322),1,Zr6O6(BDC-F)12,['Zr'],['6'],1.55,1.33,4,0.4333,6.6339,Zr6O6(BDC-F)12,"['BDCF', 'O']","[12.0, 6.0]",2.25,0,0,0,0,0,0.555555556,0,0,0.222222222,0.222222222,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.935703704,0.777777778,0.428571429,0.577162339,0.354940117,0.278386535,0.177470059,0.122382191,0.122382191,0.11,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.222222222,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,2,1,0,0
184,"Zr6O6(ABDC-Cl2)12(101, 310)",1,Zr6O6(ABDC-Cl2)12,['Zr'],['6'],1.55,1.33,4,0.4333,6.6339,Zr6O6(ABDC-Cl2)12,"['ABDCCl2', 'O']","[12.0, 6.0]",2.65,0,0,0,0,0,0.533333333,0,0.133333333,0,0.4,0.133333333,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,1,0,0,0,0,0.942038889,0.733333333,0.545454545,0.609444977,0.393173573,0.305272374,0.203253453,0.120003101,0.145200732,0.081333333,0.533333333,0.1,0,0.2,0.2,0.133333333,0.333333333,0.2,0,0,0.133333333,0.133333333,0.066666667,0,0,0.4,0,0,0.066666667,0,0,0,0,0.066666667,0.827666667,2,1,0,0
185,Zr6O6(ABDC)12(102),1,Zr6O6(ABDC)12,['Zr'],['6'],1.55,1.33,4,0.4333,6.6339,Zr6O6(ABDC)12,"['ABDC', 'O']","[12.0, 6.0]",3.65,0,0,0,0,0,0.533333333,0,0,0,0.533333333,0.133333333,0,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,1,0,0,0,0,0.750677778,0.666666667,0.6,0.650914012,0.317580678,0.326006892,0.165457006,0.107404285,0.107404285,0.100666667,0.533333333,0.1,0,0.2,0.2,0.133333333,0.333333333,0.2,0,0,0.066666667,0.133333333,0.066666667,0,0,0.4,0,0,0.066666667,0,0,0,0,0.066666667,0.827666667,2,1,0,0
186,IRMOF-1/MOF-5(62-67),0,Zn4O(BDC)3,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BDC)3,"['BDC', 'O']","[3.0, 1.0]",3.32,0,0,0,0,0,0.555555556,0,0,0,0.444444444,0,0,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,1,0,0,0,0,0.76912963,0.666666667,0.5,0.646277398,0.312944065,0.312944065,0.156472032,0.101384164,0.101384164,0.102222222,0.555555556,0.111111111,0,0.166666667,0.166666667,0.111111111,0.444444444,0.222222222,0,0,0.111111111,0.111111111,0.111111111,0,0,0.333333333,0,0,0.055555556,0,0,0,0,0.055555556,1.036111111,0.75,0.25,0,0
187,"MOF-177(63, 68, 69)",0,Zn4O(BTB)2,['Zn'],['4'],1.35,1.65,2,-0.62,9.3942,Zn4O(BTB)2,"['BTB', 'O']","[2.0, 1.0]",3.59,0,0,0,0,0,0.823529412,0,0,0,0.588235294,0,0,0.058823529,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0,0,0,0,0,0,1,0,0,0,0,0.716397059,0.647058824,0.727272727,0.665676269,0.312735093,0.342146858,0.171073429,0.11985044,0.11985044,0.092352941,0.529411765,0.058823529,0,0.235294118,0.235294118,0.117647059,0.235294118,0.117647059,0,0,0.058823529,0.058823529,0.058823529,0,0,0.470588235,0,0,0.078431373,0,0,0,0,0.078431373,0.548529412,0.5,0.25,0,0
188,"MOF-508(62, 308, 309)",0,Zn2(BDC)2(BPY),['Zn'],['2'],1.35,1.65,2,-0.62,9.3942,Zn2(BDC)2(BPY),"['BDC', 'BPY']","[2.0, 1.0]",3.963333333,0,0,0,0,0,0.537037037,0,0,0,0.496296296,0.066666667,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.666666667,0,0,0,0,0.729680864,0.644444444,0.666666667,0.662425385,0.30686983,0.327703163,0.156721808,0.099603116,0.099603116,0.096481481,0.52037037,0.074074074,0,0.211111111,0.211111111,0.090740741,0.32962963,0.181481481,0,0,0.074074074,0.074074074,0.074074074,0,0.033333333,0.388888889,0,0,0.07037037,0,0,0,0,0.07037037,0.798157407,1.5,0,0,0
